mode,asset,slot_min,mom_win_min,threshold_pct,signals,trades,win_rate,pnl,sharpe,max_dd_pct,final_capital,avg_daily_pnl,trading_days
idealistic,ETH,5,1,0.4,1220,1220,93.0,51302.0,14.69,9.3,52302.0,303.5621,169
idealistic,ETH,5,1,0.5,688,688,93.8,29480.8,14.0,2.7,30480.8,197.8577,149
idealistic,ETH,5,2,0.05,36487,36487,84.0,1206611.7,79.6,7.9,1207611.7,5801.0178,208
idealistic,ETH,5,2,0.08,26547,26547,87.4,968857.7,51.18,3.9,969857.7,4657.9697,208
idealistic,ETH,5,2,0.1,21459,21459,89.0,817536.9,41.1,4.3,818536.9,3930.4659,208
idealistic,ETH,5,2,0.12,17532,17532,90.3,691321.2,35.14,4.4,692321.2,3323.6596,208
idealistic,ETH,5,2,0.15,13087,13087,91.6,532571.7,28.74,4.4,533571.7,2560.4409,208
idealistic,ETH,5,2,0.2,8421,8421,93.5,358671.1,23.35,2.9,359671.1,1741.1218,206
idealistic,ETH,5,2,0.25,5566,5566,94.2,241190.6,20.6,1.9,242190.6,1188.131,203
idealistic,ETH,5,2,0.3,3899,3899,95.2,172640.9,18.51,2.3,173640.9,876.3497,197
idealistic,ETH,5,2,0.4,1988,1988,96.3,90210.8,16.07,0.8,91210.8,490.2761,184
idealistic,ETH,5,2,0.5,1152,1152,97.7,53863.2,14.05,1.3,54863.2,314.9895,171
idealistic,ETH,5,3,0.05,39120,39120,89.2,1499892.0,90.1,4.8,1500892.0,7211.0192,208
idealistic,ETH,5,3,0.08,29598,29598,92.1,1219961.8,55.25,4.3,1220961.8,5865.201,208
idealistic,ETH,5,3,0.1,24585,24585,93.5,1047123.5,44.8,2.9,1048123.5,5034.2476,208
idealistic,ETH,5,3,0.12,20526,20526,94.6,896926.6,38.24,3.1,897926.6,4312.1471,208
idealistic,ETH,5,3,0.15,15788,15788,95.8,708690.8,31.62,3.1,709690.8,3423.6271,207
idealistic,ETH,5,3,0.2,10464,10464,96.8,479982.4,25.41,1.1,480982.4,2341.3776,205
idealistic,ETH,5,3,0.25,7186,7186,97.5,334732.6,21.38,1.7,335732.6,1632.842,205
idealistic,ETH,5,3,0.3,5142,5142,97.9,241772.2,19.13,0.4,242772.2,1196.8921,202
idealistic,ETH,5,3,0.4,2765,2765,98.2,130861.5,16.08,1.0,131861.5,674.5438,194
idealistic,ETH,5,3,0.5,1620,1620,98.9,77742.0,14.76,1.7,78742.0,446.7931,174
idealistic,ETH,15,1,0.05,11255,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.08,7814,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.1,6102,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.12,4844,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.15,3495,2569,75.3,62637.9,20.93,4.8,63637.9,321.22,195
idealistic,ETH,15,1,0.2,2088,2088,75.4,51120.8,19.14,4.2,52120.8,263.5093,194
idealistic,ETH,15,1,0.25,1296,1296,76.4,33033.6,16.07,4.1,34033.6,180.5115,183
idealistic,ETH,15,1,0.3,888,888,77.8,23900.8,15.19,4.9,24900.8,138.1549,173
idealistic,ETH,15,1,0.4,417,417,82.5,13174.7,14.7,9.4,14174.7,94.105,140
idealistic,ETH,15,1,0.5,226,226,84.1,7496.6,14.37,3.3,8496.6,72.7825,103
idealistic,ETH,15,2,0.05,12661,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.08,9347,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.1,7593,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.12,6217,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.15,4651,4000,78.8,111400.0,26.85,4.9,112400.0,548.7685,203
idealistic,ETH,15,2,0.2,2997,2997,80.3,88052.7,24.05,5.1,89052.7,438.0731,201
idealistic,ETH,15,2,0.25,1965,1965,82.8,62781.5,22.48,3.1,63781.5,321.9564,195
idealistic,ETH,15,2,0.3,1397,1397,84.1,46392.7,20.67,3.7,47392.7,245.464,189
idealistic,ETH,15,2,0.4,713,713,85.3,24508.3,17.64,3.6,25508.3,146.7563,167
idealistic,ETH,15,2,0.5,409,409,87.0,14781.9,16.98,4.1,15781.9,104.8362,141
idealistic,ETH,15,3,0.05,13705,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.08,10541,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.1,8789,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.12,7358,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.15,5721,5560,82.1,173296.0,30.78,8.5,174296.0,837.1787,207
idealistic,ETH,15,3,0.2,3790,3790,84.4,126989.0,26.89,4.3,127989.0,622.4951,204
idealistic,ETH,15,3,0.25,2614,2614,85.3,89947.4,22.93,3.5,90947.4,445.2842,202
idealistic,ETH,15,3,0.3,1874,1874,86.2,66113.4,21.19,4.1,67113.4,342.5565,193
idealistic,ETH,15,3,0.4,1030,1030,87.9,38073.0,18.77,2.8,39073.0,215.1017,177
idealistic,ETH,15,3,0.5,600,600,88.5,22560.0,16.13,3.8,23560.0,143.6943,157
idealistic,ETH,15,5,0.05,14725,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.08,11924,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.1,10345,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.12,8950,8438,84.1,280405.8,41.93,14.6,281405.8,1348.1048,208
idealistic,ETH,15,5,0.15,7187,7187,85.5,248481.7,36.64,14.6,249481.7,1194.6236,208
idealistic,ETH,15,5,0.2,5137,5137,87.6,188726.7,30.65,5.1,189726.7,920.618,205
idealistic,ETH,15,5,0.25,3728,3728,89.2,142944.8,25.09,3.0,143944.8,704.1616,203
idealistic,ETH,15,5,0.3,2744,2744,90.9,109830.4,22.1,3.8,110830.4,546.4199,201
idealistic,ETH,15,5,0.4,1573,1573,93.2,66534.3,19.19,1.8,67534.3,346.5328,192
idealistic,ETH,15,5,0.5,949,949,93.9,40795.9,17.74,2.8,41795.9,237.1855,172
realistic,ETH,5,1,0.05,2781,2305,88.9,7037.5,31.15,11.9,7117.5,33.8342,208
realistic,ETH,5,1,0.08,2013,1820,90.0,5693.87,29.43,6.5,5773.87,28.6124,199
realistic,ETH,5,1,0.1,1675,1565,91.8,5142.6,25.87,5.7,5222.6,25.2088,204
realistic,ETH,5,1,0.12,1306,1266,92.7,4221.16,26.68,3.0,4301.16,21.4272,197
realistic,ETH,5,1,0.15,954,941,92.6,3130.51,22.66,7.4,3210.51,16.6516,188
realistic,ETH,5,1,0.2,592,592,94.8,2085.32,19.96,4.8,2165.32,12.3392,169
realistic,ETH,5,1,0.25,380,380,97.6,1432.1,20.34,5.2,1512.1,10.5301,136
realistic,ETH,5,1,0.3,247,247,95.5,887.36,22.88,2.7,967.36,7.2143,123
realistic,ETH,5,1,0.4,125,125,94.4,437.76,14.78,3.5,517.76,6.08,72
realistic,ETH,5,1,0.5,58,58,98.3,220.1,28.39,2.0,300.1,5.2404,42
realistic,ETH,5,2,0.05,3362,3036,92.5,10150.02,40.36,4.2,10230.02,48.7982,208
realistic,ETH,5,2,0.08,2541,2459,94.1,8513.18,35.28,7.5,8593.18,41.1265,207
realistic,ETH,5,2,0.1,2107,2074,95.4,7402.43,32.57,5.2,7482.43,36.2864,204
realistic,ETH,5,2,0.12,1802,1785,95.0,6320.67,28.26,2.8,6400.67,31.2904,202
realistic,ETH,5,2,0.15,1328,1326,96.0,4805.09,27.98,0.6,4885.09,24.2681,198
realistic,ETH,5,2,0.2,891,891,97.1,3301.22,24.07,1.8,3381.22,18.1386,182
realistic,ETH,5,2,0.25,603,603,96.8,2235.35,21.75,3.0,2315.35,13.7138,163
realistic,ETH,5,2,0.3,409,409,98.0,1542.19,20.05,1.2,1622.19,10.7846,143
realistic,ETH,5,2,0.4,205,205,99.0,794.99,24.92,4.0,874.99,7.9499,100
realistic,ETH,5,2,0.5,116,116,100.0,461.21,22.52,0,541.21,6.0686,76
realistic,ETH,5,3,0.05,3831,3732,96.3,13734.11,48.3,6.2,13814.11,66.0294,208
realistic,ETH,5,3,0.08,2974,2960,97.7,11219.93,41.42,6.2,11299.93,54.2026,207
realistic,ETH,5,3,0.1,2503,2499,98.0,9549.26,35.67,3.4,9629.26,46.5818,205
realistic,ETH,5,3,0.12,2189,2189,97.8,8303.27,31.52,3.3,8383.27,40.7023,204
realistic,ETH,5,3,0.15,1692,1692,98.9,6603.9,28.32,0.9,6683.9,33.5224,197
realistic,ETH,5,3,0.2,1126,1126,99.1,4402.53,25.43,4.5,4482.53,23.0499,191
realistic,ETH,5,3,0.25,807,807,99.1,3159.14,21.09,1.5,3239.14,17.9497,176
realistic,ETH,5,3,0.3,579,579,99.3,2262.14,19.6,1.9,2342.14,13.5458,167
realistic,ETH,5,3,0.4,311,311,100.0,1239.43,20.02,0,1319.43,9.9155,125
realistic,ETH,5,3,0.5,183,183,99.5,719.95,19.25,4.2,799.95,7.4995,96
realistic,ETH,15,1,0.05,969,479,76.6,989.56,12.34,13.0,1069.56,5.181,191
realistic,ETH,15,1,0.08,694,369,75.3,706.99,11.23,9.2,786.99,4.4746,158
realistic,ETH,15,1,0.1,577,331,78.9,745.41,12.11,9.5,825.41,4.904,152
realistic,ETH,15,1,0.12,452,286,75.2,537.93,9.51,10.4,617.93,3.6103,149
realistic,ETH,15,1,0.15,324,210,83.3,550.19,13.57,5.6,630.19,4.6627,118
realistic,ETH,15,1,0.2,182,130,86.2,375.58,13.79,4.4,455.58,4.0824,92
realistic,ETH,15,1,0.25,134,108,88.9,334.84,18.72,2.3,414.84,4.4058,76
realistic,ETH,15,1,0.3,88,76,89.5,238.78,16.01,13.4,318.78,3.9797,60
realistic,ETH,15,1,0.4,36,33,81.8,80.52,12.41,6.4,160.52,2.7765,29
realistic,ETH,15,1,0.5,25,23,91.3,73.67,18.17,4.2,153.67,3.3486,22
realistic,ETH,15,2,0.05,1203,628,78.3,1403.83,13.44,21.2,1483.83,7.126,197
realistic,ETH,15,2,0.08,880,536,82.6,1393.1,17.95,5.9,1473.1,7.8264,178
realistic,ETH,15,2,0.1,723,426,82.4,1083.74,17.12,4.6,1163.74,6.6082,164
realistic,ETH,15,2,0.12,617,393,81.2,955.39,12.59,7.4,1035.39,6.0087,159
realistic,ETH,15,2,0.15,458,307,85.0,853.37,16.59,4.8,933.37,5.845,146
realistic,ETH,15,2,0.2,300,229,84.7,623.26,16.03,5.9,703.26,5.0672,123
realistic,ETH,15,2,0.25,198,165,89.7,521.49,17.81,3.6,601.49,4.8286,108
realistic,ETH,15,2,0.3,141,113,85.8,313.24,14.88,6.2,393.24,3.965,79
realistic,ETH,15,2,0.4,68,63,81.0,142.31,10.71,8.3,222.31,2.9043,49
realistic,ETH,15,2,0.5,44,41,87.8,117.19,15.74,4.0,197.19,3.5512,33
realistic,ETH,15,3,0.05,1276,714,81.8,1796.71,17.82,7.6,1876.71,9.0287,199
realistic,ETH,15,3,0.08,1033,627,83.6,1668.01,18.91,7.9,1748.01,8.5539,195
realistic,ETH,15,3,0.1,898,591,82.9,1531.33,17.4,6.1,1611.33,7.9757,192
realistic,ETH,15,3,0.12,721,479,85.8,1349.56,17.04,6.3,1429.56,7.8921,171
realistic,ETH,15,3,0.15,583,437,89.0,1362.84,20.26,12.2,1442.84,8.361,163
realistic,ETH,15,3,0.2,406,330,88.2,991.4,19.59,3.5,1071.4,6.6987,148
realistic,ETH,15,3,0.25,288,243,90.1,772.35,18.58,3.5,852.35,5.8958,131
realistic,ETH,15,3,0.3,201,180,86.7,511.29,15.84,11.8,591.29,4.6908,109
realistic,ETH,15,3,0.4,114,109,89.0,331.49,15.35,3.7,411.49,4.2499,78
realistic,ETH,15,3,0.5,64,63,92.1,203.27,16.99,6.0,283.27,3.8353,53
realistic,ETH,15,5,0.05,1450,927,85.8,2632.45,19.83,6.2,2712.45,12.9677,203
realistic,ETH,15,5,0.08,1183,862,87.0,2528.09,22.34,6.8,2608.09,12.833,197
realistic,ETH,15,5,0.1,1066,791,88.2,2411.06,21.49,10.7,2491.06,11.9359,202
realistic,ETH,15,5,0.12,933,739,89.0,2298.2,20.67,8.3,2378.2,11.9078,193
realistic,ETH,15,5,0.15,764,626,88.0,1860.24,19.47,10.5,1940.24,10.1652,183
realistic,ETH,15,5,0.2,580,510,91.4,1663.77,18.34,5.7,1743.77,10.1449,164
realistic,ETH,15,5,0.25,392,360,94.4,1274.36,23.43,4.0,1354.36,8.4957,150
realistic,ETH,15,5,0.3,306,294,91.2,945.39,18.38,6.1,1025.39,6.9006,137
realistic,ETH,15,5,0.4,168,167,94.6,580.96,22.87,3.6,660.96,5.4295,107
realistic,ETH,15,5,0.5,115,113,96.5,414.63,23.85,7.0,494.63,5.5284,75
